"Comment","Designator","Footprint","LCSC Part #"
"0.1uF/50V","C1,C21","C_0603_1608Metric","C14663"
"22nF/100V","C2","C_0603_1608Metric","C342519"
"470uF/50V","C3","CP_Radial_D10.0mm_P5.00mm","C106526"
"0.1uF","C4,C13,C20,C14","C_0402_1005Metric","C1525"
"4.7uF","C6","C_0402_1005Metric","C23733"
"1uF","C8","C_0402_1005Metric","C52923"
"10uF","C9,C7","C_0402_1005Metric","C15525"
"1uF/50V","C11","C_0603_1608Metric","C15849"
"330uF/16V","C12","CP_Elec_8x10.5","C110162"
"10uF/25V","C15,C18","C_0603_1608Metric","C96446"
"0.47uF/25V","C19,C5,C10,C16,C17","C_0402_1005Metric","C437527"
"4.7uF/50V","C22,C23","C_0805_2012Metric","C162420"
"1nF/50V","C27,C26,C25,C24","C_0402_1005Metric","C1523"
"D_Schottky","D2,D4,D1","D_SOD-123","C8598"
"WS2812B","D3","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","C2761795"
"TMC2160-TA","IC1","LQFP-48-1EP_7x7mm_P0.5mm_EP3.6x3.6mm_ThermalVias","C465948"
"BARREL_JACK","J1","DC-005C-25A","C223903"
"Screw_Terminal_01x04","J2","KF2EDGR-3.81-4P","C441184"
"USB_C_Receptacle_USB2.0","J9","USB_C_Receptacle_HRO_TYPE-C-31-M-12","C165948"
"68uH","L2","L_Taiyo-Yuden_NR-60xx","C83460"
"Q_NPN_BEC","Q1,Q4","SOT-23","C2150"
"Si4946BEY","Q2,Q3,Q6,Q5","SOIC-8_3.9x4.9mm_P1.27mm","C83862"
"50mR/2W/NON-IND","R1,R4","R_2512_6332Metric_Pad1.52x3.35mm_HandSolder","C160588"
"47R","R2,R9,R19,R20","R_0402_1005Metric","C25118"
"5.1k","R3,R13","R_0402_1005Metric","C25905"
"2R2","R6","R_0402_1005Metric","C25158"
"10R","R7,R8,R11,R10,R5,R14,R15,R12","R_0402_1005Metric","C25077"
"10kR","R16,R17,R18,R21,R23","R_0402_1005Metric","C25744"
"470R","R25,R22","R_0402_1005Metric","C25117"
"SW_Push","SW1,SW2","SW_Push_1P1T_NO_5.1x5.1mm","C318887"
"CH340B","U1","SOIC-16_3.9x9.9mm_P1.27mm","C81010"
"XC6210B332MR","U2","SOT-23-5","C47719"
"XL1509-5.0","U3","SOIC-8_3.9x4.9mm_P1.27mm","C61063"
"ESP32-WROOM-32D","U4","ESP32-WROOM-32","C473012"
"SN74LV1T34DBV","U6","SOT-23-5","C100024"
